File Name,Model,Parameters,Features,Target,RMSE
Itr1_RF_NoFeatEng.R,RandomForest,ntree = 400,MSSubClass + MSZoning + LotFrontage +,log.SalePrice,32584.19
,,,                      LotArea + Street + Alley + LotShape + LandContour +,,
,,,                      Utilities + LotConfig + LandSlope + Neighborhood +,,
,,,                      Condition1 + Condition2 + BldgType + HouseStyle +,,
,,,                      OverallQual + OverallCond + YearBuilt + YearRemodAdd +,,
,,,                      RoofStyle + RoofMatl + Exterior1st + Exterior2nd +,,
,,,                      MasVnrType + ExterQual + ExterCond + Foundation +,,
,,,                      BsmtQual + BsmtCond + BsmtExposure + BsmtFinType1 +,,
,,,                      BsmtFinSF1 + BsmtUnfSF + TotalBsmtSF + Heating + HeatingQC +,,
,,,                      CentralAir + Electrical + X1stFlrSF + X2ndFlrSF +,,
,,,                      LowQualFinSF + GrLivArea + BsmtFullBath + BsmtHalfBath +,,
,,,                      FullBath + HalfBath + BedroomAbvGr + KitchenAbvGr +,,
,,,                      KitchenQual + TotRmsAbvGrd + Functional + Fireplaces +,,
,,,                      FireplaceQu + GarageType + GarageFinish + GarageCars +,,
,,,                      GarageArea + GarageQual + GarageCond + PavedDrive +,,
,,,                      WoodDeckSF + OpenPorchSF + EnclosedPorch + X3SsnPorch +,,
,,,                      ScreenPorch + PoolArea + PoolQC + Fence + MiscFeature +,,
,,,                      MiscVal + MoSold + YrSold + SaleType + SaleCondition,,
Itr2_RF_Processed.R,RandomForest,ntree = 400,"mssub.binned, MSSubClass.cutoff,",log.SalePrice,32743.85
,,,"                               MSZoning.cutoff, LotFrontage,",,
,,,"                               LotArea, alley.binned, LotShape.cutoff, LotConfig,",,
,,,"                               Neighborhood.cutoff, neighborhood.binned,",,
,,,"                               Condition1.binned, HouseStyle.cutoff,",,
,,,"                               OverallQual, OverallCond, YearBuilt,",,
,,,"                               RoofStyle.cutoff, Exterior1st.cutoff, MasVnrType.cutoff,",,
,,,"                               MasVnrArea, BsmtQual, BsmtExposure.cutoff,",,
,,,"                               BsmtFinType1, BsmtFinSF1, BsmtUnfSF, X1stFlrSF,",,
,,,"                               X2ndFlrSF, LowQualFinSF, GrLivArea, BsmtFullBath,",,
,,,"                               BsmtHalfBath, FullBath, HalfBath, BedroomAbvGr,",,
,,,"                               KitchenAbvGr, KitchenQual.cutoff, TotRmsAbvGrd,",,
,,,"                               Functional.cutoff, Fireplaces, FireplaceQu.cutoff,",,
,,,"                               GarageType.cutoff, GarageFinish, GarageCars,",,
,,,"                               GarageQual.cutoff, GarageCond, WoodDeckSF, OpenPorchSF,",,
,,,"                               EnclosedPorch, X3SsnPorch, ScreenPorch, PoolArea,",,
,,,"                               MiscVal, MoSold, YrSold, SaleType.cutoff, SaleCondition.cutoff",,
,,,,,
